"Id","GameID","Username","Bet","CashedOut","Bonus","Profit","BustedAt","PlayDate","hora","perdio"
14196549,3366002,"papai",5,1.2,0,1,8.24,2016-11-20 19:44:19,19,0
15577107,3374646,"rrrrrrrr",4,1.33,3,1.44,3.15,2016-11-23 06:39:15,6,0
17995432,3389174,"ADM",50,1.5,1.4,25.7,2.29,2016-11-27 08:14:48,8,0
10802671,3344556,"charles150",1,1.05,4,0.09,1.05,2016-11-14 18:52:58,18,0
15421788,3373736,"fluxxy",2000,1.2,0,400,9.14,2016-11-23 00:26:05,0,0
3387542,3311658,"jim4beaver",1000,1.05,0,50,10.09,2016-11-05 10:32:34,10,0
21711361,3407867,"runitrightnow",15,15,1.53,210.23,52.22,2016-12-02 16:48:51,16,0
11811238,3350751,"Cheepot10",15,1.05,0,0.75,2,2016-11-16 12:28:36,12,0
5025134,3318575,"paulri",1,1.33,0,0.33,1.9,2016-11-07 09:24:24,9,0
16265972,3378712,"IsItPossible",2500,1.15,1.72,417.92,4.76,2016-11-24 10:15:52,10,0
2558604,3307967,"Nord",12,1.5,1.75,6.21,1.67,2016-11-04 09:11:19,9,0
6753767,3325637,"elena98hp1",2,1.25,0,0.5,4.11,2016-11-09 10:01:54,10,0
2336159,3306862,"benjovis",13,1.04,0,0.52,3.03,2016-11-04 01:20:30,1,0
14011839,3364936,"1225",100,1.11,0,11,46.11,2016-11-20 12:37:06,12,0
1152592,3300872,"Amiri220",5,2,1.2,5.06,2.28,2016-11-02 08:37:46,8,0
4588286,3316569,"aexxi2009",100,1.5,0,50,2.32,2016-11-06 19:59:40,19,0
25649054,3428765,"user74",1500,1.1,0,150,2.3,2016-12-08 14:53:29,14,0
22107375,3410047,"assefmonkey",177,1.37,0,65.49,6.7,2016-12-03 07:44:19,7,0
4723318,3317154,"Noventa",38,1.05,0,1.9,5.11,2016-11-07 00:05:46,0,0
25800064,3429618,"zmarat",10,1.04,0,0.4,1.22,2016-12-08 20:53:36,20,0
1091219,3300539,"NEONDOUGH",99675,1.01,2.48,3463.91,1.33,2016-11-02 06:15:33,6,0
5831288,3321908,"art14",16,1.33,0,5.28,1.82,2016-11-08 08:27:41,8,0
15965395,3376792,"andbig",18,2,2.61,18.47,3.33,2016-11-23 21:16:57,21,0
14518130,3368214,"riverbed",1,1.1,2,0.12,2.79,2016-11-21 10:44:27,10,0
24930180,3424502,"drusha2006",4,1.08,0,0.32,1.7,2016-12-07 10:20:03,10,0
10694197,3343979,"nazar",1000,1.1,3.49,134.94,1.13,2016-11-14 14:58:29,14,0
3311232,3311353,"1225",652,2.12,3.8,755.01,4.67,2016-11-05 08:17:20,8,0
704402,3298391,"tatjana270707",5,1.25,0,1.25,1.58,2016-11-01 15:38:00,15,0
9257481,3336420,"cxdw",1,1.95,2,0.97,5.61,2016-11-12 11:32:00,11,0
24283220,3420994,"onise222",23,3,4.74,47.09,220.41,2016-12-06 10:44:01,10,0
4271442,3315320,"joshuabeats",27,1.04,1.74,1.55,1.27,2016-11-06 11:22:11,11,0
9717177,3338793,"Iboneh",208,1.1,0,20.8,2.53,2016-11-13 03:49:30,3,0
2350885,3306941,"Thug",1153,1.12,0,138.36,3.15,2016-11-04 01:54:15,1,0
11475142,3348590,"MarkyWorld",280,1.1,0,28,1.62,2016-11-15 21:49:54,21,0
8431158,3332828,"RandomBet",1111,1.04,0,44.44,2.31,2016-11-11 11:05:09,11,0
4324402,3315532,"elena98hp1",25,1.25,0,6.25,3,2016-11-06 12:52:12,12,0
24243700,3420817,"zmarat",20,1.04,0,0.8,2.41,2016-12-06 09:26:14,9,0
10552911,3343213,"ssb2125",28,1.34,0,9.52,4.29,2016-11-14 09:59:22,9,0
17338814,3385022,"tatiana31",310,1.03,0,9.3,13.19,2016-11-26 04:31:16,4,0
12013671,3351861,"azazaz",14,2.3,1.43,18.4,6.25,2016-11-16 20:02:11,20,0
497983,3297398,"bluntpower",176,1.04,2.17,10.86,2.26,2016-11-01 08:57:54,8,0
19213725,3396087,"murzilka",150,1.07,2.22,13.83,1.36,2016-11-29 07:35:04,7,0
1663479,3303496,"olga54",14,1.33,3.57,5.12,1.35,2016-11-03 02:23:07,2,0
4939354,3318179,"joshuabeats",5,1.04,1.8,0.29,2.69,2016-11-07 06:44:16,6,0
8743662,3334013,"kimelecta1",3553,1.09,0,319.77,1.77,2016-11-11 19:12:36,19,0
23141764,3415153,"Lorebenzo",207,1.05,0,10.35,12.67,2016-12-04 18:54:02,18,0
4963340,3318293,"lelik3310",25,1.61,2,15.75,1.71,2016-11-07 07:31:05,7,0
525338,3297531,"post1",1,1.43,3,0.46,1.44,2016-11-01 09:51:19,9,0
21339623,3406138,"tehvelvet",10,1.2,0,2,5.49,2016-12-02 04:49:22,4,0
2081429,3305583,"aleks7974",15,1.55,3.33,8.75,2.05,2016-11-03 16:53:56,16,0
26528590,3434181,"post1",1,1.97,2,0.99,2.08,2016-12-10 03:52:11,3,0
15544637,3374473,"wasp1",1,1.1,0,0.1,1.47,2016-11-23 05:28:00,5,0
25114456,3425497,"zmarat",20,1.04,1.6,1.12,2.64,2016-12-07 17:01:05,17,0
4868448,3317822,"sumarial",22,1.04,0,0.88,4.02,2016-11-07 04:32:10,4,0
13840706,3363897,"ShadowshotBank",19,2.01,3.47,19.85,41.48,2016-11-20 05:36:03,5,0
10268521,3341621,"RandomBet",1111,1.04,4.02,89.09,1.13,2016-11-13 23:14:23,23,0
6990802,3326588,"Chieralph15",4,1.04,0,0.16,2.56,2016-11-09 16:23:02,16,0
25754389,3429357,"ubersaki",1000,1.1,0,100,2.84,2016-12-08 19:04:50,19,0
6819543,3325890,"Kirr923",3,2.6,3,4.89,3.66,2016-11-09 11:45:38,11,0
21197232,3405316,"clarkyclark",15,2,1.6,15.24,7.21,2016-12-01 23:25:54,23,0
1257897,3301394,"Amiri220",5,2,3.2,5.16,2.77,2016-11-02 12:06:32,12,0
6350288,3323937,"sergunguz",165,1.33,0.25,54.87,4.89,2016-11-08 22:28:04,22,0
16474406,3379849,"Kevins",1366,1.13,0,177.58,1.38,2016-11-24 18:01:56,18,0
9158824,3335919,"xrnath",29,1.01,1.48,0.72,1.09,2016-11-12 08:05:41,8,0
23757181,3418374,"Shadowshot2",100,1.6,3.04,63.04,2.17,2016-12-05 16:58:27,16,0
24254813,3420869,"storrealba",1,1.07,0,0.07,1.85,2016-12-06 09:48:04,9,0
9420268,3337159,"bientutti",3,1.15,0,0.45,3.52,2016-11-12 16:36:35,16,0
8855475,3334500,"dim4659",1,3.5,3,2.53,4.29,2016-11-11 22:32:18,22,0
1951526,3304976,"Zommau",10000,1.5,3.2,5319.93,2.44,2016-11-03 12:43:27,12,0
3454633,3311920,"WalshyDev",500,1.2,2.81,114.05,1.33,2016-11-05 12:15:45,12,0
11992451,3351745,"lelyka16",10,1.12,0,1.2,1.38,2016-11-16 19:16:46,19,0
9249022,3336381,"terriri2",105,2,0,105,26.17,2016-11-12 11:14:06,11,0
12281993,3353642,"BeatsByNav",5,1.04,0,0.2,7.29,2016-11-17 08:15:47,8,0
18894083,3394341,"mennoluckpls",25000,1.21,0,5250,64.46,2016-11-28 19:14:24,19,0
10186178,3341238,"Mineplex",200,1.3,0,60,3.05,2016-11-13 20:40:41,20,0
15287728,3372917,"Johnny91",1,1.45,2,0.47,2.43,2016-11-22 18:54:35,18,0
12257282,3353501,"bertoyabang",800,1.07,0,56,1.35,2016-11-17 07:16:08,7,0
19206532,3396051,"berg",1700,1.03,0,51,4.41,2016-11-29 07:20:02,7,0
3280281,3311218,"cowbay",10,1.34,1.4,3.54,1.38,2016-11-05 07:28:18,7,0
12136800,3352690,"solo121",125,2.2,2.46,153.07,4.01,2016-11-17 01:38:31,1,0
10621777,3343593,"planet2",10,1.29,0,2.9,3.48,2016-11-14 12:23:07,12,0
8313733,3332343,"pembo",1538,1.01,2.42,52.63,1.08,2016-11-11 07:33:48,7,0
23337358,3416237,"min2838",100,1.3,2.64,32.64,4.54,2016-12-05 02:15:10,2,0
20186539,3400783,"Ralphie15",8,2,1.63,8.13,2.65,2016-11-30 16:00:17,16,0
15013493,3371411,"deva",200,2.08,3.71,223.41,2.1,2016-11-22 08:43:13,8,0
21721535,3407914,"murzilka",30000,1.07,0,2100,3.16,2016-12-02 17:05:41,17,0
6201289,3323335,"darkfreeze2",20,1.09,0,1.8,3.04,2016-11-08 18:17:16,18,0
